a,p,q,f,l,T,m,M
3800412233,87815.04000000,0.00029000,5723749060,5723749060,1767229224245,False,True
3800412234,87815.04000000,0.00021000,5723749061,5723749061,1767229224660,False,True
3800412235,87815.04000000,0.00051000,5723749062,5723749062,1767229224833,False,True
3800412236,87815.04000000,0.01172000,5723749063,5723749063,1767229225449,False,True
3800412237,87815.04000000,0.04064000,5723749064,5723749069,1767229225466,False,True
3800412238,87815.04000000,0.00027000,5723749070,5723749070,1767229225903,False,True
3800412239,87815.04000000,0.00007000,5723749071,5723749071,1767229228433,False,True
3800412240,87815.04000000,0.00011000,5723749072,5723749072,1767229228514,False,True
3800412241,87815.03000000,0.00047000,5723749073,5723749073,1767229229013,True,True
3800412242,87815.03000000,0.00021000,5723749074,5723749074,1767229229091,True,True
3800412243,87815.03000000,0.00024000,5723749075,5723749075,1767229229109,True,True
3800412244,87815.04000000,0.00007000,5723749076,5723749076,1767229229744,False,True
3800412245,87815.03000000,0.00220000,5723749077,5723749077,1767229230078,True,True
3800412246,87815.04000000,0.00065000,5723749078,5723749078,1767229231138,False,True
3800412247,87815.04000000,0.00108000,5723749079,5723749079,1767229231412,False,True
3800412248,87815.04000000,0.00008000,5723749080,5723749080,1767229231803,False,True
3800412249,87815.04000000,0.00010000,5723749081,5723749081,1767229231913,False,True
3800412250,87815.04000000,0.00675000,5723749082,5723749082,1767229231992,False,True
3800412251,87815.03000000,0.00011000,5723749083,5723749083,1767229232667,True,True
3800412252,87815.04000000,0.00010000,5723749084,5723749084,1767229232706,False,True
3800412253,87815.04000000,0.00013000,5723749085,5723749085,1767229233677,False,True
3800412254,87815.03000000,0.00033000,5723749086,5723749086,1767229234481,True,True
3800412255,87815.03000000,0.00023000,5723749087,5723749087,1767229234771,True,True
3800412256,87815.03000000,0.00057000,5723749088,5723749088,1767229235033,True,True
3800412257,87815.03000000,0.01604000,5723749089,5723749089,1767229235693,True,True
3800412258,87815.04000000,0.00046000,5723749090,5723749090,1767229236243,False,True
3800412259,87815.04000000,0.00011000,5723749091,5723749091,1767229236400,False,True
3800412260,87815.04000000,0.00228000,5723749092,5723749092,1767229236499,False,True
3800412261,87815.03000000,0.00054000,5723749093,5723749093,1767229237851,True,True
3800412262,87815.03000000,0.00014000,5723749094,5723749094,1767229237945,True,True
3800412263,87815.04000000,0.00009000,5723749095,5723749095,1767229238048,False,True
3800412264,87815.04000000,0.00113000,5723749096,5723749096,1767229238056,False,True
3800412265,87815.03000000,0.00133000,5723749097,5723749097,1767229238159,True,True
3800412266,87815.04000000,0.00010000,5723749098,5723749098,1767229238657,False,True
3800412267,87815.04000000,0.01160000,5723749099,5723749099,1767229239630,False,True
3800412268,87815.04000000,0.00027000,5723749100,5723749100,1767229240045,False,True
3800412269,87815.04000000,0.00043000,5723749101,5723749102,1767229240505,False,True
3800412270,87815.04000000,0.00008000,5723749103,5723749103,1767229240882,False,True
3800412271,87815.04000000,0.00056000,5723749104,5723749111,1767229241436,False,True
3800412272,87815.03000000,0.00015000,5723749112,5723749112,1767229241660,True,True
3800412273,87815.04000000,0.03113000,5723749113,5723749124,1767229242100,False,True
3800412274,87815.03000000,0.00010000,5723749125,5723749125,1767229242159,True,True
3800412275,87815.03000000,0.03113000,5723749126,5723749126,1767229242278,True,True
3800412276,87815.03000000,0.00011000,5723749127,5723749127,1767229242640,True,True
3800412277,87815.04000000,0.00007000,5723749128,5723749128,1767229242815,False,True
3800412278,87815.04000000,0.00040000,5723749129,5723749129,1767229243424,False,True
3800412279,87815.04000000,0.00013000,5723749130,5723749130,1767229244068,False,True
3800412280,87815.04000000,0.00340000,5723749131,5723749131,1767229244260,False,True
3800412281,87815.04000000,0.00012000,5723749132,5723749132,1767229244299,False,True
3800412282,87815.04000000,0.00011000,5723749133,5723749133,1767229245534,False,True
3800412283,87815.04000000,0.00103000,5723749134,5723749134,1767229245593,False,True
3800412284,87815.04000000,0.00032000,5723749135,5723749135,1767229246046,False,True
3800412285,87815.04000000,0.00040000,5723749136,5723749136,1767229246235,False,True
3800412286,87815.04000000,0.00012000,5723749137,5723749137,1767229246482,False,True
3800412287,87815.04000000,0.00013000,5723749138,5723749138,1767229246511,False,True
3800412288,87815.04000000,0.00011000,5723749139,5723749139,1767229247221,False,True
3800412289,87815.03000000,0.00044000,5723749140,5723749140,1767229247638,True,True
3800412290,87815.04000000,0.00026000,5723749141,5723749141,1767229247743,False,True
3800412291,87815.04000000,0.00040000,5723749142,5723749142,1767229248100,False,True
3800412292,87815.04000000,0.00006000,5723749143,5723749143,1767229248454,False,True
3800412293,87815.04000000,0.00044000,5723749144,5723749144,1767229249522,False,True
3800412294,87815.03000000,0.00006000,5723749145,5723749145,1767229249609,True,True
3800412295,87815.03000000,0.00113000,5723749146,5723749146,1767229250210,True,True
3800412296,87815.04000000,0.00009000,5723749147,5723749147,1767229251390,False,True
3800412297,87815.03000000,0.05931000,5723749148,5723749148,1767229251441,True,True
3800412298,87815.03000000,0.00011000,5723749149,5723749149,1767229251580,True,True
3800412299,87815.03000000,0.00015000,5723749150,5723749150,1767229251632,True,True
3800412300,87815.04000000,0.00186000,5723749151,5723749151,1767229253134,False,True
3800412301,87815.04000000,0.00010000,5723749152,5723749152,1767229253182,False,True
3800412302,87815.04000000,0.00216000,5723749153,5723749153,1767229253284,False,True
3800412303,87815.04000000,0.00032000,5723749154,5723749154,1767229253367,False,True
3800412304,87815.04000000,0.00033000,5723749155,5723749155,1767229254727,False,True
3800412305,87815.04000000,0.00011000,5723749156,5723749156,1767229255457,False,True
3800412306,87815.04000000,0.00052000,5723749157,5723749163,1767229255726,False,True
3800412307,87815.04000000,0.00018000,5723749164,5723749164,1767229255964,False,True
3800412308,87815.04000000,0.00007000,5723749165,5723749165,1767229256295,False,True
3800412309,87815.04000000,0.00046000,5723749166,5723749166,1767229258149,False,True
3800412310,87815.04000000,0.00083000,5723749167,5723749167,1767229258156,False,True
3800412311,87815.03000000,0.00036000,5723749168,5723749168,1767229258156,True,True
3800412312,87815.03000000,0.00010000,5723749169,5723749169,1767229258523,True,True
3800412313,87815.04000000,0.03961000,5723749170,5723749198,1767229258665,False,True
