a,p,q,f,l,T,m,M
1850078657,2975.89000000,0.06700000,3402567562,3402567590,1767243622622,False,True
1850078658,2975.89000000,0.01810000,3402567591,3402567595,1767243622739,False,True
1850078659,2975.89000000,0.01680000,3402567596,3402567596,1767243622878,False,True
1850078660,2975.89000000,0.10000000,3402567597,3402567597,1767243623025,False,True
1850078661,2975.89000000,0.11860000,3402567598,3402567632,1767243623028,False,True
1850078662,2975.89000000,0.00170000,3402567633,3402567633,1767243623029,False,True
1850078663,2975.90000000,0.02160000,3402567634,3402567645,1767243623029,False,True
1850078664,2975.91000000,0.00180000,3402567646,3402567646,1767243623029,False,True
1850078665,2975.92000000,0.00700000,3402567647,3402567650,1767243623029,False,True
1850078666,2975.93000000,0.00680000,3402567651,3402567652,1767243623029,False,True
1850078667,2975.94000000,0.00520000,3402567653,3402567655,1767243623029,False,True
1850078668,2975.95000000,0.00360000,3402567656,3402567657,1767243623029,False,True
1850078669,2975.96000000,0.00180000,3402567658,3402567658,1767243623029,False,True
1850078670,2975.97000000,0.00180000,3402567659,3402567659,1767243623029,False,True
1850078671,2975.98000000,0.01670000,3402567660,3402567662,1767243623029,False,True
1850078672,2975.98000000,0.00280000,3402567663,3402567663,1767243623029,False,True
1850078673,2976.00000000,0.00370000,3402567664,3402567665,1767243623029,False,True
1850078674,2976.01000000,0.00520000,3402567666,3402567668,1767243623029,False,True
1850078675,2976.04000000,0.03100000,3402567669,3402567669,1767243623029,False,True
1850078676,2976.09000000,0.00340000,3402567670,3402567671,1767243623029,False,True
1850078677,2976.10000000,0.02600000,3402567672,3402567684,1767243623031,False,True
1850078678,2976.11000000,0.01980000,3402567685,3402567695,1767243623031,False,True
1850078679,2976.12000000,0.00600000,3402567696,3402567697,1767243623031,False,True
1850078680,2976.12000000,0.05370000,3402567698,3402567701,1767243623032,False,True
1850078681,2976.15000000,0.00170000,3402567702,3402567702,1767243623032,False,True
1850078682,2976.17000000,0.01220000,3402567703,3402567708,1767243623032,False,True
1850078683,2976.18000000,0.21670000,3402567709,3402567709,1767243623032,False,True
1850078684,2976.18000000,0.00600000,3402567710,3402567712,1767243623033,False,True
1850078685,2976.19000000,0.00540000,3402567713,3402567715,1767243623033,False,True
1850078686,2976.20000000,0.08440000,3402567716,3402567720,1767243623033,False,True
1850078687,2976.21000000,0.40820000,3402567721,3402567721,1767243623033,False,True
1850078688,2976.21000000,0.40320000,3402567722,3402567722,1767243623033,False,True
1850078689,2976.21000000,0.03620000,3402567723,3402567723,1767243623034,False,True
1850078690,2976.21000000,0.23260000,3402567724,3402567724,1767243623034,False,True
1850078691,2976.21000000,0.26880000,3402567725,3402567725,1767243623034,False,True
1850078692,2976.21000000,0.06800000,3402567726,3402567726,1767243623036,False,True
1850078693,2976.21000000,0.02190000,3402567727,3402567727,1767243623036,False,True
1850078694,2976.21000000,0.06800000,3402567728,3402567728,1767243623036,False,True
1850078695,2976.21000000,0.06800000,3402567729,3402567729,1767243623036,False,True
1850078696,2976.21000000,0.06800000,3402567730,3402567730,1767243623037,False,True
1850078697,2976.21000000,0.96900000,3402567731,3402567783,1767243623853,False,True
1850078698,2976.22000000,0.09650000,3402567784,3402567830,1767243623876,False,True
1850078699,2976.22000000,0.01940000,3402567831,3402567840,1767243623941,False,True
1850078700,2976.22000000,0.12530000,3402567841,3402567876,1767243627177,False,True
1850078701,2976.21000000,0.29000000,3402567877,3402567877,1767243629523,True,True
1850078702,2976.22000000,0.03550000,3402567878,3402567890,1767243631631,False,True
1850078703,2976.22000000,0.01700000,3402567891,3402567894,1767243631983,False,True
1850078704,2976.22000000,0.01700000,3402567895,3402567895,1767243631983,False,True
1850078705,2976.22000000,0.01700000,3402567896,3402567896,1767243631983,False,True
1850078706,2976.22000000,0.01700000,3402567897,3402567897,1767243631983,False,True
1850078707,2976.22000000,0.01700000,3402567898,3402567898,1767243631983,False,True
1850078708,2976.22000000,0.01700000,3402567899,3402567899,1767243631984,False,True
1850078709,2976.21000000,0.14840000,3402567900,3402567900,1767243632794,True,True
1850078710,2976.22000000,0.00280000,3402567901,3402567901,1767243635197,False,True
1850078711,2976.22000000,0.00330000,3402567902,3402567904,1767243635927,False,True
1850078712,2976.22000000,0.00500000,3402567905,3402567907,1767243638807,False,True
1850078713,2976.22000000,0.00180000,3402567908,3402567908,1767243639381,False,True
1850078714,2976.21000000,0.01150000,3402567909,3402567909,1767243639580,True,True
1850078715,2976.22000000,0.00240000,3402567910,3402567911,1767243641097,False,True
1850078716,2976.22000000,0.00340000,3402567912,3402567914,1767243642501,False,True
1850078717,2976.22000000,0.00210000,3402567915,3402567915,1767243642800,False,True
1850078718,2976.22000000,0.00940000,3402567916,3402567916,1767243643295,False,True
1850078719,2976.22000000,0.01770000,3402567917,3402567917,1767243643420,False,True
1850078720,2976.22000000,0.00340000,3402567918,3402567918,1767243643597,False,True
1850078721,2976.22000000,0.04810000,3402567919,3402567919,1767243644175,False,True
1850078722,2976.22000000,0.00430000,3402567920,3402567921,1767243644542,False,True
1850078723,2976.22000000,0.01340000,3402567922,3402567928,1767243645808,False,True
1850078724,2976.22000000,0.01340000,3402567929,3402567934,1767243645809,False,True
1850078725,2976.22000000,0.01340000,3402567935,3402567941,1767243645844,False,True
1850078726,2976.22000000,0.01340000,3402567942,3402567947,1767243645844,False,True
1850078727,2976.22000000,0.10750000,3402567948,3402567981,1767243645899,False,True
1850078728,2976.23000000,0.03060000,3402567982,3402567995,1767243646077,False,True
1850078729,2976.23000000,0.04950000,3402567996,3402568004,1767243648069,False,True
1850078730,2976.23000000,0.01670000,3402568005,3402568012,1767243649344,False,True
1850078731,2976.23000000,0.27080000,3402568013,3402568049,1767243650097,False,True
1850078732,2976.24000000,0.01420000,3402568050,3402568057,1767243650097,False,True
1850078733,2976.25000000,0.00180000,3402568058,3402568058,1767243650097,False,True
1850078734,2976.26000000,0.00180000,3402568059,3402568060,1767243650097,False,True
1850078735,2976.26000000,0.02370000,3402568061,3402568071,1767243650100,False,True
1850078736,2976.27000000,0.01020000,3402568072,3402568075,1767243650100,False,True
1850078737,2976.28000000,0.00360000,3402568076,3402568077,1767243650100,False,True
1850078738,2976.29000000,0.00180000,3402568078,3402568078,1767243650100,False,True
